ckpt_path: ./log/train/model.ckpt-1011
Tensor("shigenet2/branch_crop/pw-conv3/Relu:0", shape=(?, 1, 1, 10), dtype=float32)
Tensor("shigenet2/branch_orig/pw-conv3/Relu:0", shape=(?, 1, 1, 10), dtype=float32)
run evaluating.
model restored from: ./log/train/model.ckpt-1011
0 1.0 [b'000000.jpg'] [b'IMG_2348'] engi1_l engi1_l
1 1.0 [b'000001.jpg'] [b'IMG_2348'] engi1_l engi1_l
2 0.0 [b'000002.jpg'] [b'IMG_2348'] engi1_l kawakami_bench
3 1.0 [b'000003.jpg'] [b'IMG_2348'] engi1_l engi1_l
4 1.0 [b'000004.jpg'] [b'IMG_2348'] engi1_l engi1_l
5 1.0 [b'000005.jpg'] [b'IMG_2348'] engi1_l engi1_l
6 1.0 [b'000006.jpg'] [b'IMG_2348'] engi1_l engi1_l
7 1.0 [b'000007.jpg'] [b'IMG_2348'] engi1_l engi1_l
8 1.0 [b'000008.jpg'] [b'IMG_2348'] engi1_l engi1_l
9 1.0 [b'000009.jpg'] [b'IMG_2348'] engi1_l engi1_l
10 0.0 [b'000010.jpg'] [b'IMG_2348'] engi1_l kawakami_bench
11 1.0 [b'000011.jpg'] [b'IMG_2348'] engi1_l engi1_l
12 1.0 [b'000012.jpg'] [b'IMG_2348'] engi1_l engi1_l
13 1.0 [b'000013.jpg'] [b'IMG_2348'] engi1_l engi1_l
14 1.0 [b'000014.jpg'] [b'IMG_2348'] engi1_l engi1_l
15 1.0 [b'000015.jpg'] [b'IMG_2348'] engi1_l engi1_l
16 1.0 [b'000016.jpg'] [b'IMG_2348'] engi1_l engi1_l
17 1.0 [b'000017.jpg'] [b'IMG_2348'] engi1_l engi1_l
18 1.0 [b'000018.jpg'] [b'IMG_2348'] engi1_l engi1_l
19 1.0 [b'000019.jpg'] [b'IMG_2348'] engi1_l engi1_l
20 1.0 [b'000020.jpg'] [b'IMG_2348'] engi1_l engi1_l
21 1.0 [b'000021.jpg'] [b'IMG_2348'] engi1_l engi1_l
22 0.0 [b'000022.jpg'] [b'IMG_2348'] engi1_l engi1_r
23 1.0 [b'000023.jpg'] [b'IMG_2348'] engi1_l engi1_l
24 1.0 [b'000024.jpg'] [b'IMG_2348'] engi1_l engi1_l
25 1.0 [b'000025.jpg'] [b'IMG_2348'] engi1_l engi1_l
26 1.0 [b'000026.jpg'] [b'IMG_2348'] engi1_l engi1_l
27 1.0 [b'000027.jpg'] [b'IMG_2348'] engi1_l engi1_l
28 1.0 [b'000028.jpg'] [b'IMG_2348'] engi1_l engi1_l
29 1.0 [b'000029.jpg'] [b'IMG_2348'] engi1_l engi1_l
30 1.0 [b'000030.jpg'] [b'IMG_2348'] engi1_l engi1_l
31 1.0 [b'000031.jpg'] [b'IMG_2348'] engi1_l engi1_l
32 0.0 [b'000032.jpg'] [b'IMG_2348'] engi1_l engi1_r
33 1.0 [b'000033.jpg'] [b'IMG_2348'] engi1_l engi1_l
34 1.0 [b'000034.jpg'] [b'IMG_2348'] engi1_l engi1_l
35 0.0 [b'000035.jpg'] [b'IMG_2348'] engi1_l engi1_r
36 1.0 [b'000036.jpg'] [b'IMG_2348'] engi1_l engi1_l
37 1.0 [b'000037.jpg'] [b'IMG_2348'] engi1_l engi1_l
38 1.0 [b'000038.jpg'] [b'IMG_2348'] engi1_l engi1_l
39 1.0 [b'000039.jpg'] [b'IMG_2348'] engi1_l engi1_l
40 0.0 [b'000040.jpg'] [b'IMG_2348'] engi1_l engi1_r
41 1.0 [b'000041.jpg'] [b'IMG_2348'] engi1_l engi1_l
42 1.0 [b'000042.jpg'] [b'IMG_2348'] engi1_l engi1_l
43 1.0 [b'000043.jpg'] [b'IMG_2348'] engi1_l engi1_l
44 1.0 [b'000044.jpg'] [b'IMG_2348'] engi1_l engi1_l
45 1.0 [b'000045.jpg'] [b'IMG_2348'] engi1_l engi1_l
46 1.0 [b'000046.jpg'] [b'IMG_2348'] engi1_l engi1_l
47 1.0 [b'000047.jpg'] [b'IMG_2348'] engi1_l engi1_l
48 1.0 [b'000048.jpg'] [b'IMG_2348'] engi1_l engi1_l
49 1.0 [b'000049.jpg'] [b'IMG_2348'] engi1_l engi1_l
50 1.0 [b'000050.jpg'] [b'IMG_2348'] engi1_l engi1_l
51 1.0 [b'000051.jpg'] [b'IMG_2348'] engi1_l engi1_l
52 1.0 [b'000052.jpg'] [b'IMG_2348'] engi1_l engi1_l
53 1.0 [b'000053.jpg'] [b'IMG_2348'] engi1_l engi1_l
54 0.0 [b'000054.jpg'] [b'IMG_2348'] engi1_l kawakami_bench
55 1.0 [b'000055.jpg'] [b'IMG_2348'] engi1_l engi1_l
56 1.0 [b'000056.jpg'] [b'IMG_2348'] engi1_l engi1_l
57 1.0 [b'000057.jpg'] [b'IMG_2348'] engi1_l engi1_l
58 0.0 [b'000058.jpg'] [b'IMG_2348'] engi1_l izumikawa_r
59 1.0 [b'000059.jpg'] [b'IMG_2348'] engi1_l engi1_l
60 1.0 [b'000122.jpg'] [b'IMG_2376'] engi1_l engi1_l
61 0.0 [b'000123.jpg'] [b'IMG_2376'] engi1_l engi1_r
62 1.0 [b'000124.jpg'] [b'IMG_2376'] engi1_l engi1_l
63 1.0 [b'000125.jpg'] [b'IMG_2376'] engi1_l engi1_l
64 1.0 [b'000126.jpg'] [b'IMG_2376'] engi1_l engi1_l
65 1.0 [b'000127.jpg'] [b'IMG_2376'] engi1_l engi1_l
66 1.0 [b'000128.jpg'] [b'IMG_2376'] engi1_l engi1_l
67 1.0 [b'000129.jpg'] [b'IMG_2376'] engi1_l engi1_l
68 1.0 [b'000130.jpg'] [b'IMG_2376'] engi1_l engi1_l
69 1.0 [b'000131.jpg'] [b'IMG_2376'] engi1_l engi1_l
70 1.0 [b'000132.jpg'] [b'IMG_2376'] engi1_l engi1_l
71 0.0 [b'000133.jpg'] [b'IMG_2376'] engi1_l kawakami_bench
72 1.0 [b'000134.jpg'] [b'IMG_2376'] engi1_l engi1_l
73 1.0 [b'000135.jpg'] [b'IMG_2376'] engi1_l engi1_l
74 1.0 [b'000136.jpg'] [b'IMG_2376'] engi1_l engi1_l
75 1.0 [b'000137.jpg'] [b'IMG_2376'] engi1_l engi1_l
76 1.0 [b'000138.jpg'] [b'IMG_2376'] engi1_l engi1_l
77 1.0 [b'000139.jpg'] [b'IMG_2376'] engi1_l engi1_l
78 0.0 [b'000140.jpg'] [b'IMG_2376'] engi1_l engi1_r
